"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-02-01 ~ 2024-02-29"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"70","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","84.8734","202402","03","        31,500","-","11","개인","개인","2012"," 24","-","중개거래","부산 기장군","-"
"71","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","84.9923","202402","06","        36,300","-","12","개인","개인","2012"," 24","-","중개거래","부산 기장군","-"
"72","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","59.8302","202402","17","        22,700","-","20","개인","개인","2012"," 24","-","중개거래","부산 기장군","-"
"73","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","59.8245","202402","24","        22,900","-","13","개인","개인","2012"," 24","-","중개거래","부산 기장군","-"
"74","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","84.9923","202402","03","        32,500","-","10","개인","개인","2012"," 24","-","중개거래","부산 기장군","-"
"75","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","59.8302","202402","09","        21,500","-","4","개인","개인","2012"," 24","-","중개거래","부산 기장군","-"
"76","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","59.8302","202402","14","        20,000","-","2","개인","개인","2012"," 24","-","직거래","-","-"
"77","부산광역시 기장군 정관읍 용수리","1387","1387","0000","정관동일스위트1차","59.6502","202402","17","        22,500","-","6","개인","개인","2012"," 24","-","중개거래","부산 기장군","-"
"78","부산광역시 기장군 일광읍 삼성리","746","0746","0000","이지더원1차오션포레","59.6231","202402","05","        34,900","-","9","개인","개인","2020","해빛4로 1","-","중개거래","부산 기장군","-"
"79","부산광역시 기장군 일광읍 삼성리","773","0773","0000","e편한세상일광","74.9729","202402","17","        48,500","-","6","개인","개인","2020","해빛2로 21","-","중개거래","부산 기장군","-"
"80","부산광역시 기장군 일광읍 삼성리","773","0773","0000","e편한세상일광","84.9868","202402","05","        52,000","-","23","개인","개인","2020","해빛2로 21","-","중개거래","부산 기장군","-"
"81","부산광역시 기장군 일광읍 삼성리","773","0773","0000","e편한세상일광","79.9871","202402","13","        47,300","-","10","개인","개인","2020","해빛2로 21","-","중개거래","부산 기장군","-"
"82","부산광역시 기장군 일광읍 삼성리","773","0773","0000","e편한세상일광","79.9871","202402","06","        49,000","-","13","개인","개인","2020","해빛2로 21","-","중개거래","부산 기장군","-"
"83","부산광역시 기장군 일광읍 삼성리","783","0783","0000","일광자이푸르지오1단지","84.9849","202402","01","        53,000","-","23","개인","개인","2020","해빛로 39-15","-","중개거래","부산 기장군","-"
"84","부산광역시 기장군 일광읍 삼성리","783","0783","0000","일광자이푸르지오1단지","84.9718","202402","23","        48,000","-","1","개인","개인","2020","해빛로 39-15","-","중개거래","부산 기장군","-"
"85","부산광역시 기장군 일광읍 삼성리","783","0783","0000","일광자이푸르지오1단지","84.9062","202402","17","        48,800","-","3","개인","개인","2020","해빛로 39-15","-","중개거래","부산 기장군","-"
"86","부산광역시 기장군 일광읍 삼성리","785","0785","0000","일광자이푸르지오2단지","75.5544","202402","03","        49,000","-","10","개인","개인","2020","해빛로 29","-","중개거래","부산 기장군","-"
"87","부산광역시 기장군 일광읍 삼성리","785","0785","0000","일광자이푸르지오2단지","84.9849","202402","06","        51,000","-","3","개인","개인","2020","해빛로 29","-","중개거래","부산 기장군","-"
"88","부산광역시 기장군 일광읍 삼성리","785","0785","0000","일광자이푸르지오2단지","84.9718","202402","02","        55,500","-","24","개인","개인","2020","해빛로 29","-","중개거래","부산 기장군","-"
"89","부산광역시 기장군 일광읍 삼성리","785","0785","0000","일광자이푸르지오2단지","84.9596","202402","15","        57,000","-","3","개인","개인","2020","해빛로 29","-","중개거래","부산 기장군","-"
"90","부산광역시 기장군 일광읍 삼성리","792","0792","0000","일광한신더휴센트럴포레2단지","59.8167","202402","23","        33,200","-","5","개인","개인","2020"," 62","-","중개거래","부산 기장군","-"
"91","부산광역시 기장군 일광읍 삼성리","792","0792","0000","일광한신더휴센트럴포레2단지","75.9504","202402","02","        45,000","-","24","개인","개인","2020"," 62","-","중개거래","부산 기장군","-"
"92","부산광역시 기장군 일광읍 삼성리","792","0792","0000","일광한신더휴센트럴포레2단지","59.8167","202402","05","        33,000","-","21","개인","개인","2020"," 62","-","중개거래","부산 기장군","-"
"93","부산광역시 기장군 일광읍 삼성리","792","0792","0000","일광한신더휴센트럴포레2단지","84.9616","202402","19","        45,000","-","6","개인","개인","2020"," 62","-","중개거래","부산 기장군","-"
"94","부산광역시 기장군 일광읍 삼성리","792","0792","0000","일광한신더휴센트럴포레2단지","59.8167","202402","20","        37,500","-","15","개인","개인","2020"," 62","-","중개거래","부산 기장군","-"
"95","부산광역시 기장군 일광읍 삼성리","794","0794","0000","일광한신더휴센트럴포레1단지","84.9371","202402","15","        40,700","-","13","개인","개인","2020","해빛1로 62","-","중개거래","부산 기장군","-"
"96","부산광역시 기장군 일광읍 삼성리","794","0794","0000","일광한신더휴센트럴포레1단지","59.8167","202402","14","        34,000","-","8","개인","개인","2020","해빛1로 62","-","중개거래","부산 기장군","-"
"97","부산광역시 기장군 일광읍 삼성리","810","0810","0000","일광대성베르힐","84.5535","202402","03","        44,400","-","12","개인","개인","2020","해빛5로 14","-","중개거래","부산 기장군","-"
"98","부산광역시 기장군 일광읍 삼성리","810","0810","0000","일광대성베르힐","84.5535","202402","03","        44,600","-","23","개인","개인","2020","해빛5로 14","-","중개거래","부산 기장군","-"
"99","부산광역시 기장군 일광읍 삼성리","820","0820","0000","일광신도시비스타동원1차","96.1765","202402","05","        60,800","-","24","개인","개인","2020","해빛2로 24","-","중개거래","부산 기장군","-"
"100","부산광역시 기장군 일광읍 이천리","921-1","0921","0001","가화일광타워","59.8905","202402","03","        27,500","-","8","개인","개인","2011"," 37","-","중개거래","부산 기장군","-"
"101","부산광역시 기장군 일광읍 이천리","921-1","0921","0001","가화일광타워","59.8905","202402","04","        27,500","-","12","개인","개인","2011"," 37","-","중개거래","부산 기장군","-"
"102","부산광역시 기장군 일광읍 이천리","921-1","0921","0001","가화일광타워","59.8905","202402","19","        29,600","-","23","개인","개인","2011"," 37","-","중개거래","부산 기장군","-"
"103","부산광역시 기장군 일광읍 이천리","944","0944","0000","일광신도시비스타동원2차","104.2060","202402","08","        87,250","-","24","개인","개인","2020","해송1로 33","-","중개거래","부산 기장군","-"
"104","부산광역시 기장군 일광읍 이천리","944","0944","0000","일광신도시비스타동원2차","104.2060","202402","16","        72,500","-","25","개인","개인","2020","해송1로 33","-","직거래","-","-"
"105","부산광역시 중구 영주동","160","0160","0000","동아(160-0)","57.0900","202402","17","        12,000","-","4","개인","개인","1998","영주로 65","-","직거래","-","-"
"106","부산광역시 중구 영주동","161","0161","0000","금호","84.8600","202402","13","        20,000","-","8","개인","개인","1997","영주로 51","-","직거래","-","-"
"107","부산광역시 중구 보수동1가","산3-148","0003","0148","시영","36.3600","202402","16","         1,900","-","4","개인","개인","1969","망양로319번길 24","-","직거래","-","-"
"108","부산광역시 중구 보수동2가","118-3","0118","0003","노블레스힐","24.7900","202402","21","         4,300","-","7","개인","개인","1994","대청로 37","-","직거래","-","-"
"109","부산광역시 서구 동대신동1가","113-1","0113","0001","동대맨션","61.0600","202402","05","        16,000","-","7","개인","개인","1979","대영로 78","-","직거래","-","-"
"110","부산광역시 서구 동대신동1가","420","0420","0000","동대신역비스타동원아파트","59.9970","202402","07","        45,000","-","26","개인","개인","2021","보수대로154번길 29","20240228","중개거래","부산 서구","-"
"111","부산광역시 서구 동대신동1가","420","0420","0000","동대신역비스타동원아파트","59.9970","202402","07","        45,000","-","26","개인","개인","2021","보수대로154번길 29","-","중개거래","부산 서구","-"
"112","부산광역시 서구 동대신동1가","420","0420","0000","동대신역비스타동원아파트","59.9970","202402","03","        40,500","-","7","개인","개인","2021","보수대로154번길 29","-","중개거래","부산 서구","-"
"113","부산광역시 서구 동대신동1가","420","0420","0000","동대신역비스타동원아파트","59.9970","202402","05","        41,000","-","14","개인","개인","2021","보수대로154번길 29","-","중개거래","부산 서구","-"
"114","부산광역시 서구 동대신동2가","313","0313","0000","삼익","88.2000","202402","15","        54,000","-","4","개인","개인","1976","대영로73번길 39","-","중개거래","부산 서구","-"
"115","부산광역시 서구 서대신동1가","40","0040","0000","용문빌리지","84.3600","202402","08","        28,500","-","12","개인","개인","2003","구덕로 275-3","-","중개거래","부산 서구","-"
"116","부산광역시 서구 서대신동1가","283","0283","0000","대신푸르지오1차","102.7921","202402","17","        72,000","-","7","개인","개인","2018","대영로38번길 11","-","중개거래","부산 서구","-"
"117","부산광역시 서구 서대신동1가","283","0283","0000","대신푸르지오1차","84.9404","202402","05","        58,800","-","29","개인","개인","2018","대영로38번길 11","-","중개거래","부산 서구","-"
"118","부산광역시 서구 서대신동1가","283","0283","0000","대신푸르지오1차","84.6565","202402","06","        67,200","-","33","개인","개인","2018","대영로38번길 11","-","중개거래","부산 서구","-"
"119","부산광역시 서구 서대신동1가","283","0283","0000","대신푸르지오1차","39.9303","202402","22","        24,010","-","11","개인","법인","2018","대영로38번길 11","-","직거래","-","-"
"120","부산광역시 서구 서대신동1가","283","0283","0000","대신푸르지오1차","39.9303","202402","23","        22,870","-","14","개인","법인","2018","대영로38번길 11","-","직거래","-","-"
"121","부산광역시 서구 서대신동1가","283","0283","0000","대신푸르지오1차","39.9303","202402","19","        24,010","-","14","개인","법인","2018","대영로38번길 11","-","직거래","-","-"
"122","부산광역시 서구 서대신동1가","283","0283","0000","대신푸르지오1차","39.9303","202402","27","        22,980","-","18","개인","법인","2018","대영로38번길 11","-","직거래","-","-"
"123","부산광역시 서구 서대신동2가","14","0014","0000","오션스카이블루","48.3300","202402","27","        14,000","-","10","개인","개인","2014","구덕로321번길 23","-","중개거래","부산 서구","-"
"124","부산광역시 서구 서대신동2가","18-1","0018","0001","오현스위트","49.3925","202402","22","        16,600","-","9","개인","개인","2015","대영로45번길 52","-","중개거래","부산 서구","-"
"125","부산광역시 서구 서대신동2가","270","0270","0000","보람","84.9450","202402","23","        29,000","-","11","개인","개인","2005","대영로 24","-","직거래","-","-"
"126","부산광역시 서구 서대신동2가","570","0570","0000","대신푸르지오2차","98.6543","202402","02","        66,500","-","10","개인","개인","2021","고운들로 181","-","중개거래","부산 서구","-"
"127","부산광역시 서구 서대신동3가","31-195","0031","0195","코포스빌","90.9700","202402","05","        17,000","-","2","개인","개인","2003","꽃마을로 67","-","중개거래","부산 중구","-"
"128","부산광역시 서구 서대신동3가","360-5","0360","0005","한우리타워4차","69.2900","202402","06","        27,600","-","8","개인","개인","2017","대영로45번길 72","-","중개거래","부산 서구","-"
"129","부산광역시 서구 서대신동3가","694-1","0694","0001","협성르네상스","84.7400","202402","29","        34,700","-","3","개인","개인","2001","대티로 159","-","중개거래","부산 서구","-"
"130","부산광역시 서구 서대신동3가","752","0752","0000","대신공원한신휴플러스","84.9517","202402","04","        42,000","-","14","개인","개인","2014","보수대로 284","-","중개거래","부산 서구","-"
"131","부산광역시 서구 서대신동3가","762","0762","0000","대신롯데캐슬","84.9950","202402","25","        43,650","-","9","개인","개인","2014","대티로 161","-","중개거래","부산 서구","-"
"132","부산광역시 서구 서대신동3가","769","0769","0000","대신더샵","84.9300","202402","03","        49,500","-","6","개인","개인","2018","꽃마을로 48","-","중개거래","부산 서구","-"
"133","부산광역시 서구 서대신동3가","769","0769","0000","대신더샵","59.9300","202402","16","        39,500","-","13","개인","개인","2018","꽃마을로 48","-","중개거래","부산 서구","-"
"134","부산광역시 서구 서대신동3가","769","0769","0000","대신더샵","74.9400","202402","07","        47,000","-","17","개인","개인","2018","꽃마을로 48","-","중개거래","부산 서구","-"
"135","부산광역시 서구 서대신동3가","769","0769","0000","대신더샵","59.9300","202402","07","        40,800","-","18","개인","개인","2018","꽃마을로 48","-","중개거래","부산 서구","-"
"136","부산광역시 서구 서대신동3가","769","0769","0000","대신더샵","59.9300","202402","27","        40,500","-","19","개인","개인","2018","꽃마을로 48","-","중개거래","부산 서구","-"
"137","부산광역시 서구 부용동1가","69-7","0069","0007","남명더라우부용","49.8302","202402","22","        28,700","-","13","개인","법인","2021","구덕로 234","-","직거래","-","-"
"138","부산광역시 서구 부용동1가","69-7","0069","0007","남명더라우부용","62.2326","202402","22","        37,500","-","14","개인","법인","2021","구덕로 234","-","직거래","-","-"
"139","부산광역시 서구 부민동3가","76","0076","0000","부민e편한세상","117.5920","202402","14","        37,500","-","19","개인","개인","2004","해돋이로 313","-","중개거래","부산 서구","-"
"140","부산광역시 서구 부민동3가","76","0076","0000","부민e편한세상","60.0000","202402","03","        19,400","-","4","개인","개인","2004","해돋이로 313","-","중개거래","부산 서구","-"
"141","부산광역시 서구 부민동3가","76","0076","0000","부민e편한세상","60.0000","202402","03","        19,500","-","6","개인","개인","2004","해돋이로 313","-","중개거래","부산 서구","-"
"142","부산광역시 서구 부민동3가","76","0076","0000","부민e편한세상","85.0000","202402","21","        26,400","-","7","개인","개인","2004","해돋이로 313","-","중개거래","부산 서구","-"
